team_id,team_name
30236,Warren Wilson Owls
750,Wartburg Knights
751,Wash. & Jeff. Presidents
752,Wash. & Lee Generals
753,Washington Col. Shorewomen
1434,Waynesburg Yellow Jackets
760,Wellesley Blue
761,Wells Express
762,Wentworth Leopards
764,Wesleyan (CT) Cardinals
765,West Chester Golden Rams
9630,West Va. Wesleyan Lady Bobcats
770,WestConn Wolves
775,Western New Eng. Golden Bears
777,Westfield St. Owls
1451,Westminster (PA) Titans
30209,Westminster (UT) Griffins
779,Wheaton (MA) Lyons
780,Whitman Blues
781,Whittier Poets
1454,Whitworth Pirates
783,Widener Pride
784,Wilkes Lady Colonels
785,Willamette Bearcats
786,William & Mary Tribe
17094,William Peace Pacers
789,Williams Ephs
1460,Wilmington (DE) Wildcats
12973,Wilson Phoenix
1462,Wingate Bulldogs
792,Winthrop Eagles
793,Wis.-Eau Claire Blugolds
795,Wis.-La Crosse Eagles
806,Wittenberg Tigers
2915,Wofford Terriers
807,Wooster Fighting Scots
809,Worcester St. Lancers
813,Yale Bulldogs
815,York (PA) Spartans
30154,Young Harris Mountain Lions
817,Youngstown St. Penguins
